account,followers,tweets,created_date,bio
memecoin,1978010,4,Tue Apr 26 10:21:39 +0000 2022,The ticker is $MEME
TeaMemeCoin,493211,385,Sat Jun 22 19:15:00 +0000 2024,cu-$TEA memecoin on #Solana 🍃💸 3M in Telegram Communi-TEA
ctancoin,345888,15378,Wed Apr 07 03:17:18 +0000 2010,Chiitan☆Coin is @chiitan7407 Official Meme Coin of Japanese crazy mascot. Support by @SlashWeb3. 🔸 $CTAN Official Community：https://t.co/9Fute4GSX8
NBAMemeCoin,254146,6238,Fri Mar 20 05:50:19 +0000 2009,"The fan-powered meme coin of the @NBA

Don’t sit on the bench—join the $NBA revolution!
LAUNCHING SOON on Solana https://t.co/y4ZgR1Oymd! STAY TUNED!"
ElonMusk_Pump,226123,1718,Fri Jul 29 16:02:06 +0000 2022,"We are advertisers of meme coin projects that need #CTO from the lowest marketcap that will grow X10 X100 times with calls and #DCA meme coin 
#MemeCoin #DCA"
ParkMemeCoin,212925,24,Wed Jan 24 03:16:55 +0000 2024,$PARK is a memecoin inspired by the humor of South Park ⚡️
ConceitedNYC,195460,79793,Sat May 02 10:34:36 +0000 2009,official Conceited meme coin here!!!! $memeface CjBthjvyynu435dgXUJCWYXst7mgGRzBjpSsFEP3pump
CryptoDefiGems,184447,8111,Sun Jun 27 08:19:46 +0000 2021,"Meme Coin/Low Cap Maxi. Owner of MetaBangs Ambassador to $KNC, $PROPC, $AITECH, $OORT, $DIA, $WORK, $ALL, $KRPS"
hard_protocol,171895,211,Thu Sep 10 23:08:41 +0000 2020,"The first community-led, AI-powered meme coin platform powered by $HARD — trading on @binance."
WaterMemeCoin,149160,404,Sun Jun 16 17:11:55 +0000 2024,Stay hydrated and watch your portfolio flow with $WATER🚰💧
catecoin,133773,2133,Sat Mar 30 04:19:58 +0000 2019,"CateCoin: The Original (1st) Cat Meme Coin!
Memes + Play2Earn + NFTs + DeFi + Apps 😻
Buy $CATE on BSC/ETH/BASE
TG- https://t.co/dZiXvcl6Tc
hodl@catecoin.club"
PumpBigPump,112657,426,Sun Sep 10 20:18:02 +0000 2023,$PUMP is a meme coin that represents what everyone in crypto is dreaming of: a Big Pump of their coins!
