account,followers,created_date,bio,tweets
ApolloFi1,14864,Wed May 05 06:02:32 +0000 2021,"ApolloFi is the decentralized socializing network built on #Polygon #Ethereum #BSC 
Discord: https://t.co/rx6tG95wwV
#SocialFi #omnichain #web3",690
Metya_JP,96477,Wed Jun 05 22:17:50 +0000 2024,#Metya | #AI 搭載の分散型 #Web3 デーティングプラットフォーム。毎月850万人以上がここで出会い、探求し、素晴らしい人生を楽しんでいます。#SocialFi 革命をリードし、愛と自由を無限に広げましょう💘,358
METYA_HK,200177,Tue Mar 19 16:52:23 +0000 2013,#Metya | 由 #AI 驅動的去中心化 #Web3 約會平台，每月有超 850 萬人於此相遇、探索並享受美好生活。引領 #SocialFi 革命，讓愛情與自由無限延伸,17891
xninja_tech,56078,Sun Dec 31 15:19:01 +0000 2023,"The 1st GameFi & SocialFi 2.0 built on @Injective $INJ $XNJ $ELEM 🥷 https://t.co/H3gIvss0QD ⚔
https://t.co/p8W00yHQyT 📃",320
PulseSocialFi,207802,Thu May 30 04:56:13 +0000 2024,"💎 Your gateway to #EarlyGems—anytime, anywhere. 🔍
🕵️‍♂️ Trade smarter, not harder! 🦖 #SocialFi",983
Metyakor,91091,Tue Jul 08 22:22:18 +0000 2014,"#Metya | #AI 가 구동하는 탈중앙화 #Web3 데이팅 플랫폼, 매월 850만 명 이상의 사람들이 이곳에서 만나고, 탐험하며, 멋진 삶을 즐기고 있습니다. #SocialFi 혁명을 선도하며, 사랑과 자유를 무한히 확장합니다. 💘",269
SaTT_Token,22710,Thu Apr 05 06:57:48 +0000 2018,"SaTT dApp allows anyone to earn crypto with social media.
Get ready to #Post2Earn, the #SocialFi revolution. 
#dApp #Web3 #Blockchain",3041
KeySeaXyz,3663,Wed Sep 20 11:52:36 +0000 2023,"Building on @LineaBuild, the next-gen #KeysTrading for Social Profiles. Join us!
Currently in BETA. #SocialFi
Mother of @TIDEStoken",537
IMonster_Gamefi,4297,Fri Dec 29 09:10:42 +0000 2023,"Your reliable option! | We lead in #SocialFi and #P2E | redefining #GameFi. We're dedicated to trendy gameplay and transparency.
DM For Collab , Partnership",321
xtask_xyz,7296,Tue Apr 02 07:31:34 +0000 2024,"Turn your social media activity into something more - a potential source of income and a springboard into the future of technology.

#XTask $XTASK",237
Metya_TH,22823,Tue Sep 03 02:50:45 +0000 2024,#Metya| แพลตฟอร์มการเดทแบบกระจายศูนย์บน #Web3 ที่ขับเคลื่อนด้วย #AI มีผู้คนมากกว่า8.5M คนพบกันที่นี่ในทุกเดือน ตกหลุมรักและสนุกกับชีวิต นำพาการปฏิวัติ #SocialFi,292
SocialFiNetwork,5232,Fri Oct 15 07:56:25 +0000 2021,The First Social Trading Aggregator + Trading Guild with Social Network on #Web3. SocialFi/DeFi/NFT/GameFi to Earn. We define #SocialFi Trading.,36
btcw_tech,32955,Thu May 19 06:53:00 +0000 2022,"♟️GET RICH YOUR SOCIAL 

$BTCW : 0x16F4745ADda9Bc3765d7141b5d897797b01EBb40
$BTCD: 0xe7b422E6365b63577dD66dF7e52B634E1CC60D68",13
LongSocialFi,1058,Wed Apr 15 10:00:45 +0000 2015,Cập nhật tin tức và chiến lượt đầu tư mới nhất về #SocialFi #Web3 #Airdrops #CryptoNews #BTC                                  🔥 https://t.co/uDfZq84SHv🔥,1555
xQuest_tech,6884,Sun Sep 19 18:51:27 +0000 2021,"Free2Play #SocialFi PvPvE game.
Crafted with ❤️ by @L3GITSTUDIOS

Earn rewards by completing quests on Twitter!
Join us 🎮 https://t.co/rIl14wINmX",78
voxynetwork,1088,Tue Jul 10 07:28:08 +0000 2012,"#Voxy Network - The First Decentralized Social Platform that rewards both, the creators and the fans. Join now and start earning!
$VOXY",0
Metya_MY,17701,Thu Sep 26 03:43:19 +0000 2024,"#Metya | Platform temu janji #Web3 terdesentralisasi dipacu oleh #AI, tempat 8.5M+ orang bertemu setiap bulan. Memimpin revolusi #SocialFi",135
metyacom,788839,Tue Nov 30 10:46:10 +0000 2021,"Metya is AI-driven web3 dating platform. Over 8,500,000 users meet here monthly. To connect with interesting individuals and explore a wonderful life. #SocialFi",962
Socialfi_SS,496,Sun Nov 27 05:32:55 +0000 2022,"🔥 Discover all things about #SocialFi movement.
🪩 Here are the latest news, featured projects, and analytics about #SocialFi.

🤝 DM: https://t.co/ZXgWQZXCgK",515
0xDogeber,2526,Tue Apr 12 15:14:09 +0000 2022,"Generating financial innovation in interactive behavior #SocialFi 
TG: https://t.co/hrL34EBMuI…
Discord: https://t.co/KaCsj4sVDZ…",112
TrendX_pro,2033,Mon Mar 06 23:24:00 +0000 2023,"$TRENDX Utility token that pays you in ETH for holding! Holders get trade signals, 100% revenue & profit sharing, social fi and more! https://t.co/6C0hBGwVDx",2200
DMGsocialFI,893,Sun May 20 16:55:24 +0000 2018,"$DMG is led by DMGGF, a Canadian cryptocurrency company, and a number of venture capital institutions are following in the one-stop aggregation platform #Web3",46
GenZee_live,60091,Tue Nov 30 17:00:48 +0000 2021,Genzee – The Next-Gen SocialFi Platform. Connect • Engage • Play • Earn 〽️| $GenZ 🟨,20
