account,text,hashtags,created_at
metyacom,"Our COO Christy will be speaking at TelegramGrowthHub Demo Day, sharing valuable insights on the future of Web3. 🚀

Catch the key takeaways 🔽
https://t.co/pae3QrEOMy https://t.co/fXtP385dbP",,Sun Feb 16 12:56:18 +0000 2025
metyacom,"RT @wallet: Start the weekend right with 567K USDT in rewards from our campaigns with @Alaya_AI, @Zypher_Network, @GoldenGoose_app, @Bedroc…",,Sat Feb 15 11:05:13 +0000 2025
metyacom,"First love from #Metya 💖

https://t.co/4S00JwTZF7

#DatingFi $MET #SocialFi #OKX 
#Web3 #giveaways https://t.co/8Z3tjASKHd","Metya,DatingFi,SocialFi,OKX,Web3,giveaways",Sat Feb 15 06:53:34 +0000 2025
metyacom,We have the love,,Fri Feb 14 16:34:06 +0000 2025
metyacom,"Celebrate Valentine’s Day with Metya! ❤️
✨ Connect, share, and make unforgettable memories on-chain.
 #Metya #ValentinesDay #DatingFi #SocialFi https://t.co/0EPzVInxfE","Metya,ValentinesDay,DatingFi,SocialFi",Fri Feb 14 10:00:01 +0000 2025
metyacom,"Broccoli is such a great name! 
What do you think I should name my dog? 🐶 @cz_binance 
 #Broccoli #Metya #BNB https://t.co/ltMnKQuWh3","Broccoli,Metya,BNB",Fri Feb 14 06:57:32 +0000 2025
metyacom,"RT @HTX_Global: 🪂🪂Tariffs, Crypto &amp; Airdrops! 

Trump’s tariff policy is shaking things up—what does it mean for crypto? Join our expert pa…",,Fri Feb 14 05:21:10 +0000 2025
metyacom,"Join #Metya at the Exclusive VC Horizon-Investors Reunion in Hong Kong! 🚀

📅 Feb 19, 6:00 PM - 10:00 PM GMT+8
📍 Soho House Hong Kong

See you there! 👉 https://t.co/MBty0z696n https://t.co/8rZLKpPUSj",Metya,Thu Feb 13 14:04:00 +0000 2025
metyacom,"RT @Dev_Mustee: Unlimited Love on Valentine's Day from Metya

Set your reminder for the #METYA  AMA Space: Staking and Earning on Metya

ht…",METYA,Thu Feb 13 10:47:34 +0000 2025
metyacom,"With @wallet 💰
Simple Smart Effortless... https://t.co/aYZS9nLWl2",,Thu Feb 13 09:39:35 +0000 2025
metyacom,"Turns out Duo is dating us on the Lover’s Bridge. ❤️‍🔥 
#Metya https://t.co/PMFKi4hxUd",Metya,Wed Feb 12 08:17:27 +0000 2025
metyacom,"@metyacom  is thrilled to participate in the Telegram Growth Hub Demo Day in Hong Kong during #ConsensusHK ! 

🌍 Don't miss this chance to connect, share ideas, and explore the future of Web3 social platforms.  

🔗 Join us on Luma:  https://t.co/pae3QrFmC6",ConsensusHK,Tue Feb 11 13:53:02 +0000 2025
metyacom,"Stake More,Get More,Earn More…
https://t.co/GtkDIIJdqo https://t.co/fyz6rQqdrs",,Tue Feb 11 10:11:08 +0000 2025
metyacom,RT @RoundtableSpace: Love on the Blockchain: AI Dating Deep Dive w/@metyacom https://t.co/UBnsHfsTPw,,Tue Feb 11 02:02:19 +0000 2025
metyacom,"They All Like Us!
They All Like Us!
They All Like Us!
#Metya https://t.co/JqaXAFmy8C",Metya,Mon Feb 10 17:05:00 +0000 2025
metyacom,Super fun vibes at the #SuperBowl ! 🎉 https://t.co/db18wrPyCi,SuperBowl,Mon Feb 10 16:35:47 +0000 2025
metyacom,"🌟 See You In #HongKong! 🌟

Don’t miss out – RSVP now!

📅 Luma Link: https://t.co/60wPRDhveH

#Metya #Web3 #SocialFi #ConsensusHK https://t.co/3GSLmarfNX","HongKong,Metya,Web3,SocialFi,ConsensusHK",Mon Feb 10 08:00:59 +0000 2025
metyacom,Explore More.. https://t.co/RXDAhkUSk6,,Sun Feb 09 06:59:15 +0000 2025
metyacom,"🚀 Faster Withdrawals, Smarter Earnings!

Enjoy quicker access to your rewards starting now!
https://t.co/FCXUYuZ6OO

#Staking #Metya $MET https://t.co/vAG4r3x3BT","Staking,Metya",Sat Feb 08 09:46:44 +0000 2025
metyacom,"A new way to watch the fireworks. 🎇 
https://t.co/FCXUYuYyZg
#Metya #Staking $MET https://t.co/jiSqy1MNLW","Metya,Staking",Fri Feb 07 07:38:05 +0000 2025
metyacom,"RT @nextmate_ai: Set your reminder for the #NextmateAI AMA Space: How Can AI Transform User Experience and Engagement in Web3?

🗓️Friday, F…",NextmateAI,Fri Feb 07 06:35:12 +0000 2025
metyacom,Doing it every single day🪁 https://t.co/NwFEPFYQFS,,Thu Feb 06 12:37:03 +0000 2025
metyacom,"Now available on @GooglePlay ! 📲 

https://t.co/ozCis64PxA

#Metya #Google  #SocialFi https://t.co/kVMrcYDCxn","Metya,Google,SocialFi",Thu Feb 06 09:30:50 +0000 2025
metyacom,"GM ☀️ 
Stay consistent—and you’ll see the rewards roll in. 
#Metya #Staking $MET https://t.co/kQpDRaGHkl","Metya,Staking",Thu Feb 06 07:19:50 +0000 2025
metyacom,"In the past 7 days, $MET staking volume has reached 5 million

🚀 Steady growth, strong community
https://t.co/FCXUYuZ6OO

$MET #Metya #Staking #DatingFi #SocialFi https://t.co/OFjbDYGg99","Metya,Staking,DatingFi,SocialFi",Wed Feb 05 08:42:25 +0000 2025
metyacom,"RT @TelgatherGames: 🎮 #TelgatherGamers, our exciting #AMA series is back!!! 🎉

📌 Topic: $TRUMP Coin: Good or Bad for Crypto?

🎙️ Guests: @m…","TelgatherGamers,AMA",Wed Feb 05 07:14:33 +0000 2025
metyacom,"Log in to the https://t.co/aN9M9qFkGp via Web3 Wallet, stake $MET with ease! 🚀 

#Metya #SocialFi $Met #OKX  #Staking #DePIN https://t.co/7GJy1s9Kwk","Metya,SocialFi,OKX,Staking,DePIN",Tue Feb 04 09:09:09 +0000 2025
metyacom,"Stake your $MET and let your rewards grow steadily, day by day. 🌿 

https://t.co/aN9M9qFkGp

*Data shared by community members https://t.co/K1jeIQM9Cb",,Mon Feb 03 12:21:13 +0000 2025
metyacom,When #Metya in the #GRAMMYs  🎵✨ https://t.co/7Df5Nb9SiX,"Metya,GRAMMYs",Mon Feb 03 10:03:56 +0000 2025
metyacom,"Patience pays off, rewards roll in. ⏳💎 https://t.co/xnqyPVOpHt",,Sun Feb 02 05:29:45 +0000 2025
metyacom,"Hello February👋
Stay patient — the real growth is just getting started. 🌱 
#Metya $MET #Staking https://t.co/WOOzfRxpl3","Metya,Staking",Sat Feb 01 12:25:33 +0000 2025
metyacom,"RT @RoundtableSpace: INVESTMENT: Thousands of clicks, likes, and interactions every month on the most popular Web2 social networks. 

$0 ba…",,Fri Jan 31 17:01:33 +0000 2025
metyacom,"Staking, Earn and Thrive—Now Seamlessly With #OKX @wallet  🚀

https://t.co/aN9M9qFkGp

#Metya #Staking $MET https://t.co/5K3HR4Ot17","OKX,Metya,Staking",Fri Jan 31 08:08:38 +0000 2025
metyacom,"Staking, trading, growing! 🚀 
$MET #Metya #SocialFi #DatingFi #Staking https://t.co/V8LuD7iZ9F","Metya,SocialFi,DatingFi,Staking",Thu Jan 30 06:55:12 +0000 2025
Friend3AI,"RT @Glacier_Labs: 🔥 Glacier Network 🤝 @Friend3AI🎭

The First Verifiable &amp; Trustless AI Network meets the Leading Social #dApp where creator…",dApp,Sat Feb 15 08:03:03 +0000 2025
Friend3AI,"RT @hc_capital: 🚀 BNB Chain Ecosystem is Gaining Momentum! 🔥

With CZ back, @BNBCHAIN season might be around the corner! From AI and DeFi t…",,Sat Feb 15 06:27:22 +0000 2025
Friend3AI,"🙋Friend3 AI Agents‍ are LIVE on 👉https://t.co/KYw3bfulTN

Log in with your X and @BNBCHAIN wallets (opBNB network) to explore a SocialFi AI world at Friend3 👀

#F3 #Friend3 #BSCMeme","F3,Friend3,BSCMeme",Wed Feb 12 18:08:44 +0000 2025
Friend3AI,"🤝 Friend3 x Digimon Engine

We’re excited to announce our partnership with @Digimon_Tech! 🚀

💡 Digimon Engine: The first AI-native framework empowering developers to seamlessly create AI + Web3 games.

Backed by @a16z, the company combines expertise in #AI, #gaming, and #Web3. https://t.co/HhQziOVoW4","AI,gaming,Web3",Mon Feb 10 10:00:02 +0000 2025
Friend3AI,RT @WOWEARNENG: We have less than 45 mins until our next insightful and exciting AMA with 2 amazing partners: @AILayerXYZ &amp; @Friend3AI . Ma…,,Fri Feb 07 11:42:12 +0000 2025
Friend3AI,"RT @WOWEARNENG: 🎙 WOW EARN Round Table AMA Incoming! 🎉

We’re excited to host a special Round Table AMA featuring these incredible partners…",,Thu Feb 06 15:41:58 +0000 2025
Friend3AI,"🚨 @EtakuAI  X Friend3 #Airdrop Event Winner Announcement 🚨

The results are out! 🎉 The winners of the Etaku AI X Friend3 Airdrop Event have been announced on our Telegram group.

👉 Check the full winners list here: https://t.co/NPvTdi69oz",Airdrop,Wed Feb 05 09:08:13 +0000 2025
Friend3AI,"https://t.co/snRcrdW9IN infra launch:   

February __, 2025

#F3 #Fight4F3 #AIAgents","F3,Fight4F3,AIAgents",Mon Feb 03 21:11:34 +0000 2025
Friend3AI,RT @CryptoAttackDao: https://t.co/SVi3GOfKPv,,Sat Feb 01 12:27:52 +0000 2025
Friend3AI,"🎉 Thank you to everyone for joining the $EKU AIRDROP Friend3 x Etaku AI Event! 🎉

🚀We’re happy to see so much enthusiasm from the community and everyone involved! 

💖Here’s the Ranking of Talent that everyone loved the most:
1️⃣ Umi @Umi_Etaku 
2️⃣ Vivi @EtakuAI 
3️⃣ Yuna","Airdrop,EtakuAI,Friend3",Fri Jan 31 12:12:40 +0000 2025
Friend3AI,"🤝 #Friend3 x #WowEarn

We’re thrilled to announce our partnership with @WOWEARNENG ! 🚀

💡 WOW EARN is an all-in-one Web3 application that seamlessly integrates DeFi, SocialFi, and a dynamic marketplace—powered by its innovative Proof of Engagement (PoE) consensus.

✨ Key https://t.co/wIPYoQZhUK","Friend3,WowEarn",Thu Jan 30 13:34:55 +0000 2025
Friend3AI,"🎉🐍 Happy Chinese New Year from Friend3! 🎆

金蛇献瑞 – The Golden Snake brings you great blessings! 🐍✨

Wishing you a Year of the Snake filled with prosperity, good health, and boundless joy. 🌟

Stay tuned—an exciting surprise is coming your way! 👀

#CNY #Friend3 https://t.co/rtT1fxYdgr","CNY,Friend3",Tue Jan 28 16:00:11 +0000 2025
Friend3AI,"RT @CryptoAttackDao: 🚀 Crypto's Next Big Revolution: PayFi  
🔥 Dive into the FUTURE of finance in our First LIVE Roundtable #AMA! 😎 

📅 1st…",AMA,Mon Jan 27 12:39:23 +0000 2025
Friend3AI,"RT @EtakuAI: 🧧HAPPY LUNAR CHEER YEAR 🧧

🎉 GIVEAWAY CAMPAIGN 700 USDT 🎉

Celebrate the Lunar New Year with our best friends @Friend3AI @gomb…",,Mon Jan 27 12:37:40 +0000 2025
Friend3AI,"🚀 It's Happening! 

💥 #SocialFi is the future!",SocialFi,Sun Jan 26 09:57:50 +0000 2025
Friend3AI,"GM Fam! 🌅

Have a great Friday! 🙌🙌 https://t.co/uyOAzbGjyX",,Fri Jan 24 08:32:13 +0000 2025
Friend3AI,"🔥 Welcome to the new era of AI Agents! Friend3 X Etaku AI

💰 $30,000 $EKU AIRDROP for 10 LUCKY WINNERS! 💰

✨ This is your chance to win BIG and be part of the revolution! ✨

🌟 How to Enter:
1️⃣ Follow @EtakuAI and @Friend3AI
2️⃣ Drop a comment with:
- Your BEP20 Wallet https://t.co/QAZDUHl139","Airdrop,EtakuAI,Friend3",Thu Jan 23 13:26:11 +0000 2025
Friend3AI,"🤝 #Friend3 x #EtakuAI

We’re excited to announce our partnership with @EtakuAI ! 🚀

💡 EtakuAI empowers users to create, own, and trade personalized AI Agents designed for entertainment, all powered by the on-chain Etaku protocol.

✨ Key Features of EtakuAI:
🔹 Create Your Own https://t.co/fqcq5921T4","Friend3,EtakuAI",Thu Jan 23 06:54:35 +0000 2025
Friend3AI,"Why mindlessly scroll when you can connect, grow, and earn with #Friend3? 🌟 https://t.co/iUcM75TbI3",Friend3,Wed Jan 22 09:59:39 +0000 2025
Friend3AI,"""There are a billion knowledge workers in the world. It is very clear that AI agents are probably the next robotics industry and are likely to become a multi-trillion-dollar opportunity.""
— Jensen Huang, @nvidia's CEO, at #CES2025 

 🔥 We 100% Agree! That’s why we developed AI https://t.co/n3b3WmYt0T",CES2025,Mon Jan 20 09:39:39 +0000 2025
Friend3AI,"Imagine having a digital personal assistant that's always ready to assist you and your friends in group chats! 🤖✨
 
Introducing F3 AI Agents – the newest innovation in AI, utilizing a ticket system for seamless support! 🚀 

Experience it for yourself and join the $F3 community https://t.co/5C9vmom9lu",,Sun Jan 19 11:39:40 +0000 2025
Friend3AI,RT @InitVerse: https://t.co/4V3jbGZ0jj,,Fri Jan 17 12:05:35 +0000 2025
Friend3AI,"RT @InitVerse: 📢 AMA Alert! 🚀
Wondering how INIChain fits into the AI revolution in blockchain? Let’s explore how AI is transforming blockc…",,Thu Jan 16 15:47:36 +0000 2025
Friend3AI,"🎉 The 11th Stake Pool of $esF3 is NOW LIVE! 🎉

🚀 Dive into the new staking pool with 1:1 conversion rate from $F3 to $esF3 and enjoy a staggering 78%+ APY! 💰

🔗 Stake your $esF3 today at https://t.co/SIeZAIFPiQ and watch your investment grow! https://t.co/xT1VvDI2jH",,Wed Jan 15 09:36:08 +0000 2025
Friend3AI,"🤖 Discover the Difference: AI vs. AI Agent!
 
AI (Artificial Intelligence) is like raw brainpower—full of potential but needs a task to be useful. 🌟  

In contrast, an AI Agent is the practical side of AI! It takes that intelligence and turns it into action, whether answering https://t.co/eVYEgdomvD",,Tue Jan 14 09:24:14 +0000 2025
Friend3AI,"🤝 #Friend3 x #HeLaLabs 
 
We’re excited to unveil our partnership with @Hela_Network! 🚀 
 
💡 HeLa is a modular Layer 1 blockchain enabling AI infrastructure for Web2 and Web3 across various sectors, including gaming, DeFi, DePIN, and many more.
 
💫 This collaboration https://t.co/YMbIRp3LHq","Friend3,HeLaLabs",Mon Jan 13 09:47:11 +0000 2025
Friend3AI,"🎉 Congratulations to ChainGPT ($CGPT) on being listed on @Binance! 🚀

A big shoutout to @Chain_GPT for their incredible support as the launchpad during the $F3 IDO—we're proud to collaborate with such an amazing team! 🌟

Additionally, $CGPT has also been listed as a donation",,Fri Jan 10 15:11:42 +0000 2025
Friend3AI,"🤝 #Friend3 x #Ispolink 
  
We’re thrilled to announce our partnership with @ispolink! 🎮✨  
  
🌍 ISPOVERSE is a Gaming platform with features like Play2Earn, hackathons, NFT exhibitions, quests, and virtual co-working spaces. 
  
🌟 Together, Friend3 and ISPOVERSE are set to https://t.co/rJ43R0MM3U","Friend3,Ispolink",Thu Jan 09 06:08:17 +0000 2025
Friend3AI,"👀 The 1st surprise we bring in 2025 — the social AI agent feature, has been developed &amp; integrated on @Friend3AI dapp! 

🥳 You can now give it a try on #opBNB @BNBCHAIN 

👉🏻 https://t.co/KYw3bfuTJl

The official version will be released next week! Look for the invitation code",opBNB,Sun Jan 05 16:52:53 +0000 2025
Friend3AI,"As we wrap up 2024, we want to express our heartfelt gratitude to our amazing Friend3 community! 🙏

✨ Your support and enthusiasm for $F3 have made this year truly special.

Here’s to a thrilling 2025 filled with new adventures, growth, and endless possibilities in the crypto https://t.co/I1xXWfx3jN",,Tue Dec 31 15:59:00 +0000 2024
Friend3AI,Cook something new for the new year $F3👀,,Mon Dec 30 20:16:20 +0000 2024
Friend3AI,"Congrations to our partner @AITECHio for being featured among #Binance Top 5 Alpha Projects 👏👏👏

Guess who is next? 👀👀👀",Binance,Thu Dec 26 11:40:18 +0000 2024
Friend3AI,"🎄🎄🎅✨🎄🎄

You better watch out, you better not cry,
You better not pout, we’re telling you why…
Friend3 Fam is coming to town! 🎅🎅

🎁 Wishing you a holiday season filled with joy, love, and endless inspiration. Thank you for being part of our journey—together, we’re https://t.co/PLwNSJ6pyt",,Tue Dec 24 09:00:06 +0000 2024
Friend3AI,"RT @CoinBorsaX: @Friend3AI_Labs @Friend3AI I can’t wait to share the F3 screen again! 🚀
In April-May 2025, I’ll show it to everyone once mo…",,Sat Dec 21 16:55:43 +0000 2024
Friend3AI,"🔥 52,391 $esF3 ($F3) have been BURNED! 🔥

✅ Burned Proof: https://t.co/3BNoyDixg9

🎁 We’ve successfully launched 10 Staking Pools! As promised, all early unstake fees will be burned.

💰 The new staking pool is live with a 1:1 conversion rate from $F3 to $esF3, offering an https://t.co/j8nWEDGVgs",,Thu Dec 19 15:37:24 +0000 2024
PiNetwork_35,Leave your $PI username and check back in 24 hours.,,Sun Feb 16 15:38:42 +0000 2025
