account,text,hashtags,created_at
openchaty,"#openchaty
Hey, everybody, we've got a very interesting idea 🤓",openchaty,Sun Jan 26 15:18:49 +0000 2025
openchaty,"RT @aitrilon: #trilonai #memecoin #trump #ilon #ai
Mommy's watching daddy do 😂 https://t.co/J8x2KciV9y","trilonai,memecoin,trump,ilon,ai",Sat Jan 25 12:08:29 +0000 2025
openchaty,Today we had a video conference with some interesting folks 🤓,,Thu Apr 04 17:07:42 +0000 2024
openchaty,"Our team is still working hard to build our platform despite the challenges we have faced 🫡
#Blast_L2 #openchaty","Blast_L2,openchaty",Wed Apr 03 22:13:06 +0000 2024
openchaty,"#SCAM
To all who are developing on @Blast_L2  be careful. There's a scammer out there. He's writing under the name @RugRadio. And sends a scam link to calendly, which gives the right to make posts on your behalf. https://t.co/MtQMwQzAfZ",SCAM,Thu Mar 21 14:48:50 +0000 2024
openchaty,"#Blast_L2 #openchaty 
We are preparing something interesting for you🤓 https://t.co/0v20jCPJDA","Blast_L2,openchaty",Tue Mar 12 13:35:01 +0000 2024
openchaty,RT @hc_capital: @Blast_L2 @tntswap_io @monoswapio @Roguex_io @blasterfi @0xDTX @BlasterSwap @IgniteFi_ @StarSwapIO @midnight @ProtocolRing…,,Fri Mar 08 14:10:28 +0000 2024
openchaty,"RT @DeRonin_: 3: SocialFi

➜ @upto3xyz - Web3 protocol for event knowledge graphs - TBA - Airdrop

➜ @Bitconnectoken - Bitconnect is a gami…",,Sun Mar 03 05:43:25 +0000 2024
openchaty,🤝,,Sat Mar 02 07:44:00 +0000 2024
openchaty,🤓🚀🚀🚀,,Fri Mar 01 08:36:23 +0000 2024
openchaty,"RT @ETH_AllDay: 6/ SOCIALFI
@earlyfans_xyz
@DegenDnaNFT
@upto3xyz
@grinding_today
@openchaty https://t.co/xnDrXwtJ2y",,Fri Mar 01 08:33:34 +0000 2024
openchaty,"RT @TCVNcommunity: 7/ SOCIALFI 💕
@DistrictOneIO
@grinding_today
@earlyfans_xyz
@openchaty
@memedotfun
@Pacbotapp",,Tue Feb 27 20:01:54 +0000 2024
openchaty,"RT @Joeconceptss: 🔖Money Markets
•@seismicfinance 
•@FragmentFi 
•@OrbitLending 
•@TimeswapLabs 
•@Zest_Blast 
•@NatriumProtocol 
•@usetell…",,Tue Feb 27 12:02:55 +0000 2024
openchaty,"RT @Samurai_CZ: ----SocialFi----

@Bitconnectoken
@upto3xyz
@atticc_xyz
@openchaty
@earlyfans_xyz

----Yield----

@blastar_fi
@boostonblast…",,Sat Feb 24 03:22:36 +0000 2024
openchaty,"#blast #partnership 
🚀 BOMBASTIC NEWS! 🚀 We're excited to announce an exciting partnership between @openchaty  and @monoswapio ! 🤝🌐 We now have a powerful alliance to improve the Blast ecosystem! https://t.co/c6vEiOIK4A","blast,partnership",Wed Feb 21 15:55:22 +0000 2024
openchaty,"RT @blastnsdomains: 💥 Bombshell News 💥

🎉 We are beyond excited to announce our strategic partnership with @zkDXio, @EtherPillarNFT, @openc…",,Wed Feb 21 10:20:19 +0000 2024
openchaty,"RT @GianTheRios: If you're building on @Blast_L2 

I will be attempting to host weekly spaces covering any and all things Blast related

 W…",,Sat Feb 17 22:41:49 +0000 2024
openchaty,"We just submitted our dapp to the
@BLAST_L2
Big Bang competition. Stay tuned for the live judging event on February 20 to see if we win! https://t.co/EUZmfC0ur9",,Mon Feb 12 18:51:04 +0000 2024
openchaty,"#blast #openchaty 
Hi everyone, we've updated our landing page🤓 https://t.co/iIuojNx9aW","blast,openchaty",Mon Feb 12 13:03:31 +0000 2024
openchaty,"RT @Mr_Lumus: The Blast ecosystem is set to explode with massive gains in 2024.

I've curated a list of projects that have the potential to…",,Mon Feb 12 09:35:09 +0000 2024
MonsterLord2024,"🎃Happy Halloween, Monster Lords! 🍬🍬🕸️
👻Join us for fun and rewards!👉https://t.co/34PkkOtOem 
#GameFi #Metaverse #P2E #SolanaProjects #Crypto #NFT $SOL #BlockchainGaming https://t.co/QiaQyQb7wx","GameFi,Metaverse,P2E,SolanaProjects,Crypto,NFT,BlockchainGaming",Thu Oct 31 11:04:55 +0000 2024
MonsterLord2024,"🌞Nice Tuesday fellas!☕️☕️☕️
🤓Have you checked out Monster Lord lately?
🎮Dive in, have a blast, and score some awesome rewards while you’re at it!
🥳Let’s go! 🚀https://t.co/34PkkOtOem
#GameFi #Metaverse #P2E #SolanaProjects #Crypto #NFT $SOL #BlockchainGaming #Rewards https://t.co/qTp6JpZ8pE","GameFi,Metaverse,P2E,SolanaProjects,Crypto,NFT,BlockchainGaming,Rewards",Tue Oct 15 03:11:34 +0000 2024
MonsterLord2024,"🌟Monster Lord brings together a diverse range of metaverse games and gameplay themes, offering limitless potential and unique experiences! 
🎮Ready to explore and unleash your creativity in this vibrant universe? Join us now! 🚀👉https://t.co/34PkkOtOem 
#GameFi #Metaverse #P2E https://t.co/B6s9W1CmRD","GameFi,Metaverse,P2E,SolanaProjects,Crypto,NFT,BlockchainGaming",Tue Oct 08 08:06:32 +0000 2024
MonsterLord2024,"🤓A new week means new adventures and opportunities to earn! Jump into your favorite games and start maximizing those rewards!👉 https://t.co/34PkkOtOem
🥰Become part of our exclusive community designed for the young and creative! 
🌟AI 
🌟Trading
🌟Content
🌟Game
🌟Community https://t.co/LvXXWLktV4","GameFi,Metaverse,P2E,SolanaProjects,Crypto,NFT,BlockchainGaming",Mon Sep 30 07:23:03 +0000 2024
MonsterLord2024,"🧐Discover the unique economic model of Monster Lord! ↘️https://t.co/34PkkOtOem
✅Check out our carefully prepared onepage to learn how to earn more $MOLO and $SOL in Monster Lord! In this fantastical world, you can enjoy gaming while growing your wealth! 🪙💸💰
🏄Join Monster https://t.co/px21dKGTyv","GameFi,Metaverse,P2E,SolanaProjects,Crypto,NFT,BlockchainGaming",Fri Sep 27 02:39:56 +0000 2024
